Lesson Code,Lesson Name,Teacher Name,Lesson Date,Lesson Hours,Lesson Credit
MATH102.01,CALCULUS II,ARZU BOYSAL,📅 TTThTh,⏱️ 1212,4 Cr 6 ECTS
MATH102.02,CALCULUS II,ARZU BOYSAL,📅 TTThTh,⏱️ 3434,4 Cr 6 ECTS
MATH105.01,INTRODUCTION TO FINITE MATHEMATICS,SİNAN S.IŞIK,📅 TTThTh,⏱️ 1212,4 Cr 6 ECTS
MATH105.02,INTRODUCTION TO FINITE MATHEMATICS,SİNAN S.IŞIK,📅 TTThTh,⏱️ 3434,4 Cr 6 ECTS
MATH111.01,INTRODUCTION TO MATHEMATICAL STRUCTURES,TALİN BUDAK,📅 MMWW,⏱️ 1212,4 Cr 8 ECTS
MATH111.02,INTRODUCTION TO MATHEMATICAL STRUCTURES,TALİN BUDAK,📅 MMWW,⏱️ 3434,4 Cr 8 ECTS
MATH131.01,CALCULUS OF A SINGLE VARIABLE,EKİN ÖZMAN KARAKURT,📅 MMWW,⏱️ 1212,4 Cr 8 ECTS
MATH132.01,CALCULUS OF SEVERAL VARIABLES,AHMET KAMİL FEYZİOĞLU,📅 MMWW,⏱️ 1212,4 Cr 8 ECTS
MATH201.01,MATRIX THEORY,MÜGE TAŞKIN AYDIN,📅 MMWW,⏱️ 1212,4 Cr 5 ECTS
MATH201.02,MATRIX THEORY,MÜGE TAŞKIN AYDIN,📅 MMWW,⏱️ 3434,4 Cr 5 ECTS
MATH201.03,MATRIX THEORY,YASEMİN KARA,📅 MMWW,⏱️ 3434,4 Cr 5 ECTS
MATH202.01,DIFFERENTIAL EQUATIONS,FATİH ECEVİT,📅 MMWW,⏱️ 3434,4 Cr 7 ECTS
MATH221.01,LINEAR ALGEBRA,ÖZLEM BEYARSLAN,📅 TTThTh,⏱️ 1212,4 Cr 8 ECTS
MATH222.01,GROUP THEORY,AHMET KAMİL FEYZİOĞLU,📅 MMWW,⏱️ 3434,4 Cr 8 ECTS
MATH231.01,ADVANCED CALCULUS I,ÇAĞRI KARAKURT,📅 TTThTh,⏱️ 3434,4 Cr 8 ECTS
MATH231.02,ADVANCED CALCULUS I,ÇAĞRI KARAKURT,📅 TTThTh,⏱️ 5656,4 Cr 8 ECTS
MATH323.01,"RINGS,FIELDS&GALOIS THEORY",EKİN ÖZMAN KARAKURT,📅 MMWW,⏱️ 3434,4 Cr 8 ECTS
MATH327.01,NUMBER THEORY,CEM YALÇIN YILDIRIM,📅 TTTh,⏱️ 787,3 Cr 6 ECTS
MATH331.01,METRIC SPACES,BETÜL TANBAY,📅 TTThTh,⏱️ 3434,4 Cr 8 ECTS
MATH336.01,NUMERICAL ANALYSIS,FATİH ECEVİT,📅 MMW,⏱️ 562,3 Cr 6 ECTS
MATH344.01,INTRODUCTION TO PROBABILITY&STATISTICS,ALP BASSA,📅 TTTh,⏱️ 565,3 Cr 6 ECTS
